,ADDR_PCT_CD,BORO_NM,JURISDICTION_CODE,LAW_CAT_CD,Latitude,Longitude,FIPS
1606,26,MANHATTAN,0.0,MISDEMEANOR,40.817876427,-73.960747938,360610219001005
1607,79,BROOKLYN,0.0,VIOLATION,40.67939467,-73.94498397699999,360470247001000
1608,28,MANHATTAN,0.0,MISDEMEANOR,40.806734698,-73.945099074,360610200002001
1609,26,MANHATTAN,0.0,MISDEMEANOR,40.820013911,-73.958875165,360610223021004
1610,61,BROOKLYN,0.0,VIOLATION,40.608346224,-73.967479881,360470422001003
1611,17,MANHATTAN,15.0,MISDEMEANOR,40.752387917,-73.973274664,360610092001015
1612,113,QUEENS,0.0,FELONY,40.705134446,-73.762804525,360810504002000
1613,17,MANHATTAN,15.0,MISDEMEANOR,40.754314887,-73.973963285,360610092001003
1614,17,MANHATTAN,15.0,MISDEMEANOR,40.754314887,-73.973963285,360610092001003
1615,17,MANHATTAN,15.0,MISDEMEANOR,40.754314887,-73.973963285,360610092001003
1616,121,STATEN ISLAND,0.0,MISDEMEANOR,40.636218222,-74.165076848,360850319022003
1617,28,MANHATTAN,0.0,MISDEMEANOR,40.808374136,-73.946885823,360610222002000
1618,23,MANHATTAN,0.0,MISDEMEANOR,40.789347893,-73.947352413,360610166002000
1619,62,BROOKLYN,0.0,MISDEMEANOR,40.602603179,-74.00308766100001,360470282002000
1620,83,BROOKLYN,0.0,MISDEMEANOR,40.694383038000005,-73.912588382,360470435002000
1621,44,BRONX,0.0,MISDEMEANOR,40.835686075,-73.925654577,360050199003001
1622,90,BROOKLYN,2.0,VIOLATION,40.710827597,-73.944633401,360470495003003
1623,43,BRONX,0.0,FELONY,40.829635958000004,-73.874169224,360050062005001
1624,75,BROOKLYN,0.0,VIOLATION,40.662692805,-73.88830716,360471122002000
1625,79,BROOKLYN,0.0,MISDEMEANOR,40.689479035,-73.94513071,360470263001001
1626,28,MANHATTAN,0.0,MISDEMEANOR,40.81051681,-73.950922824,360610257001000
1627,84,BROOKLYN,0.0,FELONY,40.690866375,-73.985848057,360470011001013
1628,28,MANHATTAN,0.0,MISDEMEANOR,40.809596838000004,-73.949785598,360610222001000
1629,94,BROOKLYN,0.0,FELONY,40.729172131,-73.953807818,360470575004002
1630,61,BROOKLYN,0.0,MISDEMEANOR,40.601514922,-73.953039062,360470558001001
1631,45,BRONX,0.0,MISDEMEANOR,40.826506906,-73.822020555,360050162001003
1632,44,BRONX,0.0,MISDEMEANOR,40.837781618,-73.919457971,360050221013002
1633,103,QUEENS,0.0,MISDEMEANOR,40.702511756,-73.787356774,360810440001001
1634,103,QUEENS,0.0,MISDEMEANOR,40.702511756,-73.787356774,360810440001001
1635,28,MANHATTAN,0.0,MISDEMEANOR,40.809349096,-73.948167439,360610222001000
1636,67,BROOKLYN,0.0,FELONY,40.639994931,-73.94841428699999,360470828001001
1637,40,BRONX,0.0,MISDEMEANOR,40.817396125,-73.92275946699999,360050065002004
1638,109,QUEENS,0.0,VIOLATION,40.762043893000005,-73.827329581,360810865001001
1639,109,QUEENS,0.0,VIOLATION,40.762043893000005,-73.827329581,360810865001001
1640,32,MANHATTAN,0.0,MISDEMEANOR,40.811751909,-73.9508605,360610215001001
1641,90,BROOKLYN,2.0,MISDEMEANOR,40.703968961,-73.940206502,360470489001000
1642,112,QUEENS,0.0,MISDEMEANOR,40.719971668,-73.844235287,360810737001000
1643,28,MANHATTAN,0.0,MISDEMEANOR,40.808374136,-73.946885823,360610222002000
1644,32,MANHATTAN,0.0,MISDEMEANOR,40.811751909,-73.9508605,360610215001001
1645,28,MANHATTAN,0.0,MISDEMEANOR,40.803931879000004,-73.950140244,360610220002001
1646,103,QUEENS,0.0,VIOLATION,40.702511756,-73.787356774,360810440001001
1647,113,QUEENS,0.0,FELONY,40.677850314000004,-73.780260927,360810288002012
1648,28,MANHATTAN,0.0,MISDEMEANOR,40.805385279,-73.953588772,360610220004003
1649,75,BROOKLYN,0.0,VIOLATION,40.681268322,-73.892876594,360471142021002
1650,69,BROOKLYN,0.0,FELONY,40.640028287,-73.893216642,360471012001001
1651,47,BRONX,2.0,MISDEMEANOR,40.88269399,-73.833156832,360050462021011
1652,88,BROOKLYN,0.0,MISDEMEANOR,40.693089743,-73.96205467600001,360470193001001
1653,66,BROOKLYN,0.0,MISDEMEANOR,40.645379219,-73.98098577100001,360470498001002
1654,75,BROOKLYN,0.0,MISDEMEANOR,40.671106911,-73.881432957,360471164002002
1655,102,QUEENS,0.0,VIOLATION,40.7044636,-73.819699069,360810216003002
1656,104,QUEENS,0.0,MISDEMEANOR,40.704881834,-73.89613879699999,360810581002001
1657,44,BRONX,0.0,MISDEMEANOR,40.829155253,-73.915988655,360050175002001
1658,102,QUEENS,0.0,MISDEMEANOR,40.697626080999996,-73.836021784,360810130002005
1659,78,BROOKLYN,0.0,MISDEMEANOR,40.667953344000004,-73.98897821,360470139003001
1660,6,MANHATTAN,0.0,VIOLATION,40.733614139000004,-74.0028592,360610073004001
1661,114,QUEENS,0.0,FELONY,40.751299077,-73.934288193,360810031002008
1662,112,QUEENS,0.0,MISDEMEANOR,40.710769244,-73.857548735,360810637001000
1663,42,BRONX,0.0,FELONY,40.832416753000004,-73.890714406,360050155002005
1664,77,BROOKLYN,0.0,VIOLATION,40.676217578,-73.923366407,360470307003000
1665,46,BRONX,0.0,MISDEMEANOR,40.849050686999995,-73.900923445,360050379001005
1666,70,BROOKLYN,0.0,MISDEMEANOR,40.651582982,-73.961299852,360470508012001
1667,60,BROOKLYN,0.0,MISDEMEANOR,40.577191856,-74.00057021,360470330001000
1668,5,MANHATTAN,0.0,MISDEMEANOR,40.714738449,-73.997602625,360610029003002
1669,122,STATEN ISLAND,0.0,VIOLATION,40.595445889000004,-74.069230536,360850074001004
1670,79,BROOKLYN,0.0,MISDEMEANOR,40.680002664,-73.942236182,360470269002001
1671,72,BROOKLYN,0.0,MISDEMEANOR,40.649692613,-74.007338643,360470082002000
1672,25,MANHATTAN,0.0,FELONY,40.804694598000005,-73.938158252,360610196003001
1673,104,QUEENS,0.0,FELONY,40.709386655,-73.869790122,360810655011001
