,Location,Longitude,Latitude,Borough,FIPS
1265,Grand Concourse,-73.9206,40.8312,Bronx,360050195004001
1266,RIVERDALE AV,-73.909384,40.881129,Bronx,360050289003005
1267,STORY AV,-73.879921,40.821439,Bronx,360050028001011
1268,ASCH LOOP,-73.83069499999999,40.86933,Bronx,360050462019003
1269,E GUN HILL RD,-73.880619,40.882449,Bronx,360050431003000
1270,BIVONA ST,-73.833433,40.883992,Bronx,360050462021011
1271,METROPOLITAN OVAL,-73.860241,40.837902,Bronx,360050216023003
1272,E 163 ST,-73.903583,40.822925,Bronx,360050133001002
1273,WHITE PLAINS RD,-73.862669,40.833542,Bronx,360050216025005
1274,WESTCHESTER AV,-73.862507,40.833144,Bronx,360050216025005
1275,Castle Hill Av,-73.849533,40.826019,Bronx,360050098002000
1276,STORY AV,-73.863761,40.823446000000004,Bronx,360050042002000
1277,BIVONA ST,-73.83276,40.882326,Bronx,360050462021011
1278,E 134 ST,-73.91106500000001,40.800655,Bronx,360050019003032
1279,MORRIS PARK AV,-73.870986,40.843257,Bronx,360050220001005
1280,MORRIS AV,-73.91138000000001,40.838086,Bronx,360050225004000
1281,STORY AV,-73.87781,40.821560999999996,Bronx,360050028004000
1282,MORRIS PARK AV BETWEEN NEWPORT & EASTCHESTER,-73.84466,40.85106,Bronx,360050286001000
1283,E 163 ST,-73.909062,40.824286,Bronx,360050185001008
1284,PELHAM PKWY,-73.844073,40.857888,Bronx,360050296001002
1285,SOUTHERN BLVD,-73.891663,40.820626000000004,Bronx,360050089001000
1286,STORY AV,-73.86836,40.822841,Bronx,360050046001008
1287,E FORDHAM RD,-73.879839,40.856338,Bronx,360050334001041
1288,W KINGSBRIDGE RD,-73.901514,40.868289000000004,Bronx,360050263005000
1289,HUNTS POINT AV,-73.891186,40.820821,Bronx,360050119001002
1290,E FORDHAM RD,-73.880342,40.857206,Bronx,360050334001021
1291,E 170 ST,-73.909064,40.837071,Bronx,360050171001000
1292,E 180 ST,-73.88854599999999,40.84789,Bronx,360050371003000
1293,E GUN HILL RD,-73.87231899999999,40.878824,Bronx,360050431005001
1294,FT INDEPENDENCE BETWEEN HEATH AV & BAILEY PL,-73.89905,40.88077,Bronx,360050279002002
1295,WHITE PLAINS RD,-73.858248,40.822565000000004,Bronx,360050016003000
1296,Bruckner Blvd,-73.8271,40.852207,Bronx,360050276001007
1297,Bruckner Blvd,-73.826937,40.852709000000004,Bronx,360050276001007
1298,EDWARD GRANT HWY,-73.922636,40.844035999999996,Bronx,360050213022004
1299,E 170 ST,-73.90824599999999,40.837051,Bronx,360050177021000
1300,SOUTHERN BLVD,-73.892049,40.820539000000004,Bronx,360050089001001
1301,SOUTHERN BLVD,-73.881,40.856317,Bronx,360050393001001
1302,HUGH GRANT CIRCLE,-73.861266,40.833701,Bronx,360050216025002
1303,PAUL AV,-73.891586,40.874725,Bronx,360050409001003
1304,PAUL AV,-73.890112,40.876635,Bronx,360050409001003
