LAW_CAT_CD,Latitude,Longitude,FIPS
VIOLATION,40.698762007,-73.897259098,360810557002003
VIOLATION,40.827514513000004,-73.944131616,360610231002000
VIOLATION,40.623226819,-74.149226973,360850303012001
VIOLATION,40.879205464,-73.85552803600001,360050388002002
VIOLATION,40.678551429,-73.949678765,360470247002004
VIOLATION,40.675743976999996,-73.89685473,360471198001006
VIOLATION,40.828132636999996,-73.85173284,360050078002004
VIOLATION,40.698330894,-73.917495073,360470433002003
VIOLATION,40.723373408,-73.995704656,360610043001004
VIOLATION,40.593634099,-73.926003282,360470666001000
VIOLATION,40.661868631,-73.746176259,360810680001011
VIOLATION,40.643274013,-73.981260228,360470496002002
VIOLATION,40.588629853,-74.148267552,360850273012020
VIOLATION,40.688954138,-73.999280274,360470047001005
VIOLATION,40.756043535,-73.986949544,360610119002005
VIOLATION,40.814899474,-73.902415744,360050083002000
VIOLATION,40.806911056,-73.852217195,360050004003008
VIOLATION,40.725945235,-73.896235854,360810511002006
VIOLATION,40.763522977,-73.987074425,360610133002000
VIOLATION,40.689335504,-73.80040883,360810196002001
VIOLATION,40.645448289,-73.907993155,360470970002003
VIOLATION,40.883776851,-73.90783692800001,360050295003000
VIOLATION,40.797004701,-73.93468731899999,360610188001001
VIOLATION,40.670800602,-73.874706801,360471194003000
VIOLATION,40.639565947,-74.017858834,360470122001000
VIOLATION,40.826828679,-73.925342887,360050063003002
VIOLATION,40.864183352,-73.902231352,360050263002001
VIOLATION,40.771975769,-73.907139606,360810119001000
VIOLATION,40.763792658,-73.997416757,360610129001002
VIOLATION,40.590185462,-73.973598811,360470386001006
VIOLATION,40.757874029,-73.784610004,360811181001006
VIOLATION,40.750654497,-73.945657796,360810019001020
VIOLATION,40.752803873000005,-73.856459068,360810401002000
VIOLATION,40.710590245,-73.98566352,360610002012001
VIOLATION,40.769561241999995,-73.915363447,360810125001010
VIOLATION,40.593508969,-73.987006509,360470302003002
VIOLATION,40.682712576,-73.871886535,360471184003004
VIOLATION,40.725697698000005,-73.988239878,360610038005001
VIOLATION,40.821866686999996,-73.897372536,360050129011005
VIOLATION,40.650049618000004,-74.003388971,360470088001001
VIOLATION,40.687441039,-73.823581648,360810158023004
