,NAME,LINE,Longitude,Latitude,FIPS
822,Jerome Ave & Cross Bronx Expwy at SW corner,4,-73.91465,40.844702,3.60E+14
823,Jerome Ave & Mt Eden Ave at NE corner,4,-73.914578,40.844389,3.60E+14
824,Jerome Ave & 170th St at SW corner,4,-73.918018,40.83996,3.60E+14
825,Jerome Ave & 170th St at SE corner,4,-73.917791,40.839877,3.60E+14
826,Jerome Ave & 170th St at SE corner,4,-73.917648,40.840076,3.60E+14
827,River Ave & 167th St at SE corner,4,-73.921131,40.8356,3.60E+14
828,River Ave & 167th St at SW corner,4,-73.921562,40.835746,3.60E+14
829,River Ave & 167th St at NW corner,4,-73.921059,40.835726,3.60E+14
830,River Ave & 167th St at NE corner,4,-73.92149,40.835873,3.60E+14
831,Grand Concourse & 149th St at SE corner,2/4/2005,-73.927251,40.818281,3.60E+14
832,Grand Conccourse & 149th St at SE corner,2/4/2005,-73.927101,40.818405,3.60E+14
833,Grand Concourse & East 138th Street at  corner,5-Apr,-73.930004,40.813328,3.60E+14
834,Grand Concourse & East 138th Street at NE corner,5-Apr,-73.929689,40.813091,3.60E+14
835,Grand Concourse & East 138th Street at  corner,5-Apr,-73.929847,40.813363,3.60E+14
836,Lexington Avenue & 125th Street at NE corner,4/5/2006,-73.937234,40.804407,3.61E+14
837,Lexington Ave & 125th St at SW corner,4/5/2006,-73.937658,40.804251,3.61E+14
838,Lexington Ave & 125th St at SE corner,4/5/2006,-73.937444,40.804164,3.61E+14
839,Fort Washington Ave & 185th St at SE corner,A,-73.936636,40.852759,3.61E+14
840,Fort Washington Ave & 181st St at SE corner,A,-73.93813,40.850752,3.61E+14
841,Fort Washington Ave & 177th St at NE corner,A,-73.939375,40.847946,3.61E+14
842,Fort Washington Ave & 177th St at SW corner,A,-73.939807,40.847809,3.61E+14
843,Fort Washington Ave & 177th St at NW corner,A,-73.939679,40.847944,3.61E+14
844,Fort Washington Ave & 177th St at NE corner,A,-73.939303,40.847859,3.61E+14
845,Fort Washington Ave & 177th St at NW corner,A,-73.939564,40.847992,3.61E+14
846,Saint Nicholas Ave & 168th St at SE corner,A-C,-73.939252,40.840741,3.61E+14
847,Amsterdam Ave & 161st St at SE corner,C,-73.940146,40.835192,3.61E+14
848,Saint Nicholas Ave & 161st St at NE corner,C,-73.939625,40.835278,3.61E+14
849,Saint Nicholas Ave & 162nd St at SW corner,C,-73.940137,40.835936,3.61E+14
850,Saint Nicholas Ave & 155th St at SW corner,C,-73.941597,40.830744,3.61E+14
851,Saint Nicholas Ave & 155th St at SW corner,C,-73.941638,40.830854,3.61E+14
852,Saint Nicholas Ave & 155th St at NW corner,C,-73.94155,40.831106,3.61E+14
853,Saint Nicholas Ave & 155th St at NW corner,C,-73.941447,40.831139,3.61E+14
854,Saint Nicholas Ave & 155th St at NE corner,C,-73.941149,40.831031,3.61E+14
855,Saint Nicholas Ave & 155th St at NE corner,C,-73.9411,40.830921,3.61E+14
856,Saint Nicholas Ave & 145th St at SE corner,A-B-C-D,-73.944726,40.823791,3.61E+14
857,Saint Nicholas Ave & 145th St at SW corner,A-B-C-D,-73.945027,40.823915,3.61E+14
858,Saint Nicholas Ave & 145th St at NW corner,A-B-C-D,-73.944931,40.824244,3.61E+14
859,Saint Nicholas Ave & 145th St at NE corner,A-B-C-D,-73.944409,40.824028,3.61E+14
860,Saint Nicholas Ave & 135th St at SW corner,B-C,-73.948225,40.817125,3.61E+14
861,Saint Nicholas Ave & 125th St at NE corner,A-B-C-D,-73.952318,40.810879,3.61E+14
862,Saint Nicholas Ave & 125th St at SE corner,A-B-C-D,-73.952583,40.810526,3.61E+14
863,Saint Nicholas Ave & 125th St at NW corner,A-B-C-D,-73.952615,40.811007,3.61E+14
864,Saint Nicholas Ave & 125th St at SW corner,A-B-C-D,-73.952886,40.810636,3.61E+14
865,Frederick Douglass Blvd & 116th St at SW corner,B-C,-73.955643,40.804312,3.61E+14
866,Frederick Douglass Blvd & 116th St at NW corner,B-C,-73.955559,40.804639,3.61E+14
867,Frederick Douglass Blvd & 109th St at SW corner,B-C,-73.958882,40.800002,3.61E+14
868,Frederick Douglass Blvd & 109th St at NE corner,B-C,-73.958448,40.800002,3.61E+14
869,Central Park West & 103rd St at NW corner,B-C,-73.96161,40.796263,3.61E+14
870,Central Park West & 96th St at SW corner,B-C,-73.965009,40.791642,3.61E+14
871,Central Park West & 86th St at SW corner,B-C,-73.969596,40.785195,3.61E+14
872,Central Park West & 86th St at SW corner,B-C,-73.969662,40.785282,3.61E+14
873,Central Park West & 86th St at NW corner,B-C,-73.969458,40.78548,3.61E+14
874,Central Park West & 81st St at SW corner,B-C,-73.972027,40.781976,3.61E+14
875,Central Park West & 81st St at NW corner,B-C,-73.971741,40.782254,3.61E+14
876,Central Park West & 72nd St at SW corner,B-C,-73.976247,40.776217,3.61E+14
877,Central Park West & 72nd St at NW corner,B-C,-73.975977,40.776431,3.61E+14
878,8th Ave & 57th St at NW corner,A-B-C-D-1,-73.982941,40.766944,3.61E+14
879,8th Ave & 57th St at SE corner,A-B-C-D-1,-73.982708,40.766488,3.61E+14
880,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.982408,40.767667,3.61E+14
881,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.982526,40.767677,3.61E+14
882,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.982542,40.767659,3.61E+14
883,8th Ave & 57th St at NE corner,A-B-C-D-1,-73.982563,40.766725,3.61E+14
884,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.982563,40.767643,3.61E+14
885,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.983408,40.766745,3.61E+14
886,8th Ave & 58th St at NW corner,A-B-C-D-1,-73.983301,40.766416,3.61E+14
887,8th Ave & 58th St at NE corner,A-B-C-D-1,-73.982137,40.767367,3.61E+14
888,8th Ave & 49th St at NW corner,C-E,-73.986662,40.761968,3.61E+14
889,8th Ave & 50th St at SW corner,C-E,-73.986378,40.762312,3.61E+14
890,8th Ave & 50th St at NW corner,C-E,-73.986299,40.762452,3.61E+14
891,8th Ave & 49th St at NW corner,C-E,-73.986662,40.761968,3.61E+14
